Target_X,Target_Y,Final_X,Final_Y,Error_m,NN_Steps,Total_Steps
-0.07856,0.04181,-0.07707576849971026,0.04102930126492967,0.0016770312046568334,59,221
-0.01855,0.01707,-0.02014208083021465,0.01688438246583774,0.0016028646976352825,17,121
-0.09814,-0.01816,-0.09433952295884697,-0.016089196714629213,0.004328030959574316,67,467
0.06319,-0.07562,0.06463413143104087,-0.0753032853258229,0.0014784531696875856,66,123
-0.00196,-0.01053,-0.0027122167594218795,-0.010180998607549653,0.0008292358078902734,7,43
-0.08035,-0.01901,-0.07903804586391922,-0.01996941915459829,0.0016253334332959476,55,230
-0.03269,-0.04,-0.03341264864249907,-0.0413743238189795,0.001552735334794745,34,159
-0.03063,0.01331,-0.032084221571216494,0.012861641942803429,0.0015217704576066817,22,118
0.06454,-0.01927,0.06307487530224268,-0.019952997162349755,0.001616501006419824,45,237
-0.00786,0.09326,-0.0090708929096451,0.09237931802138939,0.0014972850049600646,62,253
0.03067,0.06376,0.02917841591150778,0.064066562325559,0.0015227618173881646,47,184
0.06562,-0.06943,0.0644223325509882,-0.0700813409522906,0.0013633240093804734,64,203
-0.0351,-0.04186,-0.03522830919367102,-0.04279032739419194,0.0009391338081255882,36,129
0.04474,0.06394,0.04325814311621627,0.0636152217115867,0.001517030243812527,52,292
-0.08466,-0.02139,-0.08583948842473044,-0.022494123721832366,0.0016156367590476662,58,165
-0.08664,-0.01673,-0.08339690009601515,-0.01493520636743642,0.003706613167126734,59,459
-0.00107,0.00214,-0.0016316062702460387,0.0010025074663849688,0.0012685782856448433,2,25
0.01259,-0.00601,0.011651583976467351,-0.007327091980084009,0.001617206207391143,9,82
0.04602,-0.08167,0.04702428769622398,-0.08294326344480282,0.001621663829731059,62,225
0.05182,0.01974,0.05186304847124877,0.019398121061094467,0.0003445785538074445,37,82
0.08854,-0.03066,0.08754425185977947,-0.031516357898712974,0.0013133404773480203,62,226
-0.02915,0.00257,-0.029293093741456767,0.001233711537267099,0.0013439280763780312,20,92
0.00175,-0.02625,0.001060501475044588,-0.027597833935500894,0.0015139565824697616,18,121
0.06055,0.06318,0.061277169934463346,0.06183418653499992,0.0015297025842179103,58,175
-0.06559,-0.02122,-0.06391966247082273,-0.02103092782754563,0.0016810043866018396,46,196
